RKRR_S:Incheon:KR:33.11:125.44:3102
RKDA:Daegu:KR:36.43:129.51:3103
RKDA_E:Daegu:KR:37.31:130.23:3104
RKDA_C:Daegu:KR:35.32:128.43:3105
MNL:Manila:PH:12.2:123.5:312
RU-CEN:Central Asia:RU:46.25:66.47:838
RU-ERC:Dal Control:RU:63.41:145.33:835
RU-ESC:Baikal Center:RU:59.58:94.7:831
RU-NWC:NW Control:RU:71.31:46.23:833
RU-SC:Caucasus:RU:44:45:839
RU-WRC:Moscow Radar:RU:51.23:40.20:837
RU-WSC:Zapsib Control:RU:61.17:71.45:832
CARI:Caribbean Control::17:-66.5:3204
SAM-N:SAM Control North:CO:7:-74:3200
SAM_N:SAM Control North:CO:7:-74:3200
SAM-E:SAM Control East:BR:-12:-50:3201
SAM_E:SAM Control East:BR:-12:-50:3201
SAM-S:SAM Control South:AR:-36:-60:3202
SAM_S:SAM Control South:AR:-36:-60:3202
SAM-W:SAM Control West:CL:-36:-81:3203
SAM_W:SAM Control West:CL:-36:-81:3203
SACF:Cordoba:AR:-27.88:-64.93:3130
SACU:Cordoba TMA:AR:-31.50:-64.20:3131
SAEF:Ezeiza:AR:-42:-49:3140
