010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
562470        BATANG              CI 3000N 09906E 2589   
562510        XINLONG/NYAGRONG    CI 3058N 10012E 3500   
562570        LITANG              CI 3000N 10016E 3950   
562870        YA'AN               CI 2959N 10300E 0629   
562940 ZUUU   CHENGDU             CI 3040N 10401E 0508   
563120        NYINGCHI            CI 2934N 09428E 3001   
563570        DAOCHENG/DABBA      CI 2903N 10018E 3729   
563740        KANGDING/DARDO      CI 3003N 10158E 2617   
563850        EMEI SHAN           CI 2931N 10320E 3049   
563860        LESHAN              CI 2934N 10346E 0440   
564440        DEQEN               CI 2830N 09854E 3488   
564590        TU-ZHA              CI 2809N 10056E 2743   
564620        JIULONG/GYAISI      CI 2900N 10130E 2994   
564750        YUEXE               CI 2837N 10236E 1736   
564850        HU-JIA-PU-ZIIA      CI 2831N 10337E 1485   
564920        YIBIN               CI 2848N 10436E 0342   
565330        LA-WAN              CI 2741N 09821E 3352   
565430        ZHONGDIAN           CI 2742N 09942E 3001   
565480        WEIXI               CI 2713N 09919E 2743   
565650        YANYUAN             CI 2726N 10132E 2591   
565710        XICHANG             CI 2754N 10216E 1599   
565860        ZHAOTONG            CI 2720N 10345E 1950   
566510        LIJING              CI 2650N 10028E 2394   
566640        LA-SHI              CI 2622N 10113E 1210   
566710        HUILI               CI 2639N 10215E 1788   
566840        HUIZE               CI 2625N 10317E 2110   
566910        WEINING             CI 2652N 10417E 2236   
567390        TENGCHONG           CI 2507N 09829E 1649   
567410        LIU-KU              CI 2547N 09851E 2377   
567480        BAOSHAN             CI 2508N 09913E 1655   
567510        DALI                CI 2542N 10011E 1992   
567630        YUANMOU             CI 2544N 10152E 1120   
567680        CHUXIONG            CI 2501N 10132E 1773   
567780 ZPPP   KUNMING/WUJIABA     CI 2501N 10241E 1892   
567860        ZHANYI              CI 2535N 10350E 1900   
567930        PU-AN               CI 2547N 10457E 2133   
568380        RUILI               CI 2401N 09750E 0776   
568560        JING-DONG           CI 2426N 10051E 1676   
568750        YUXI                CI 2427N 10234E 1677   
568860        LUXI                CI 2432N 10346E 1708   
569460        GENGMA              CI 2333N 09924E 1104   
569510        LINCANG             CI 2357N 10013E 1503   
569540        LANCANG/MENGLANGBA  CI 2234N 09956E 1054   
569590        JINGHONG            CI 2201N 10048E 0553   
569640        SIMAO               CI 2246N 10059E 1303   
569660        YUANJIANG           CI 2336N 10159E 0398   
569690        MENGLA              CI 2130N 10135E 0633   
569770        JIANGCHENG          CI 2237N 10149E 1121   
569850        MENGZI              CI 2323N 10323E 1302   
569860        DEHOUJIE            CI 2335N 10352E 1423   
569940        WENSHAN             CI 2322N 10423E 1278   
570060        TIANSHUI            CI 3435N 10545E 1143   
570160        BAOJI               CI 3421N 10708E 0610   
570340        QIAN-XIAN           CI 3432N 10814E 0335   
570360 ZLSN   XI'AN               CI 3418N 10856E 0398   
570460        HUA SHAN (MOUNT)    CI 3429N 11005E 2063   
570670        LUSHI               CI 3403N 11102E 0570   
570710        MENGJIN             CI 3450N 11226E 0325   
570770        TIEN-HU             CI 3409N 11206E 0753   
570830 ZHCC   ZHENGZHOU           CI 3443N 11339E 0111   
570890        XUCHANG             CI 3400N 11358E 0072   
570910        KAIFENG             CI 3445N 11425E 0067   
571060        CHENG-XIAN          CI 3345N 10545E 1128   
571270        HANZHONG            CI 3304N 10702E 0509   
571340        WEN-HUANG-PING      CI 3327N 10815E 0548   
571430        SHANGXIAN           CI 3355N 10957E 0748   
571440        CHEN-AN             CI 3325N 10909E 0610   
571560        SHANG-NAN           CI 3332N 11053E 0914   
571780        NANYANG             CI 3302N 11235E 0131   
571810        JIAXIAN             CI 3358N 11313E 0076   
571930        XIHUA               CI 3347N 11431E 0053   
572320        HAN-YIN             CI 3254N 10831E 0457   
572370        WANYUAN             CI 3204N 10802E 0674   
572450        ANKANG/XING'AN      CI 3243N 10902E 0291   
572510        BAIHE               CI 3246N 11007E 0610   
572590        FANGXIAN            CI 3202N 11046E 0435   
572650        GUANGHUA            CI 3223N 11140E 0091   
572790        ZAOYANG             CI 3209N 11240E 0127   
572900        ZHUMADIAN           CI 3300N 11401E 0083   
572970        XINYANG             CI 3208N 11403E 0115   
573060        LANGZHONG           CI 3135N 10558E 0385   
573130        BAZHONG             CI 3154N 10642E 0360   
573280        DA XIAN             CI 3112N 10730E 0311   
573480        FENGJIE             CI 3103N 10930E 0607   
573780        ZHONGXIANG          CI 3110N 11234E 0066   
573850        SUIZHOU             CI 3143N 11322E 0061   
573990        MACHENG             CI 3111N 11458E 0059   
574050        SUINING             CI 3030N 10535E 0300   
574110        NANCHONG            CI 3048N 10605E 0310   
574260        LIANGPING           CI 3041N 10748E 0455   
574320        WANXIAN             CI 3048N 10821E 0299   
574470        ENSHI               CI 3017N 10928E 0458   
574500        ZIGUI               CI 3101N 11042E 0442   
574510        LU-CONG-PO          CI 3047N 11016E 1188   
574580        WU-FENG             CI 3012N 11040E 0915   
574610        YICHANG             CI 3042N 11118E 0134   
574760        JIANGLING/JINGZHOU  CI 3020N 11211E 0033   
574940 ZHHH   WUHAN/NANHU         CI 3037N 11408E 0023   
575040        NEIJIANG            CI 2935N 10503E 0357   
575160 ZUCK   CHONGQING/CHUNGKING CI 2931N 10629E 0351   
575220        FOU-LING            CI 2943N 10724E 0275   
575450        LAIFENG             CI 2932N 10923E 0561   
575540        SANGZHI             CI 2924N 11010E 0322   
575620        SHI-MEN             CI 2935N 11118E 0091   
575740        ANXIANG             CI 2926N 11211E 0028   
575830        PUQI                CI 2943N 11353E 0061   
575840        YUEYANG             CI 2923N 11305E 0052   
575980        XIUSHUI             CI 2902N 11435E 0147   
576020        LUZHOU              CI 2853N 10526E 0336   
576060        CH'IH-SHUI HO       CI 2829N 10556E 0977   
576080        XUYONG/YONGNING     CI 2813N 10526E 0366   
576220        JINFO SHAN (MOUNT)  CI 2857N 10709E 1907   
576330        YOUYANG             CI 2850N 10846E 0665   
576490        QIAN-ZHOU-ZHEN      CI 2816N 10941E 0560   
576550        YUANLING            CI 2828N 11024E 0143   
576620        CHANGDE             CI 2903N 11141E 0035   
576690        MEI-CHENG-ZHEN      CI 2809N 11138E 0201   
576710        YUANJIANG           CI 2851N 11223E 0027   
576790 ZGCS   CHANGSHA/DATUOPU    CI 2812N 11305E 0046   
576820        PINGJIANG           CI 2845N 11337E 0088   
576870        CHANGSHA            CI 2814N 11252E 0068   
577070        BIJIE               CI 2718N 10514E 1511   
577130        ZUNYI               CI 2742N 10653E 0845   
577310        SINAN               CI 2757N 10815E 0418   
577450        ZHIJIANG            CI 2727N 10941E 0273   
577490        HUAIHUA             CI 2734N 11000E 0261   
577660        SHAOYANG            CI 2714N 11128E 0248   
577740        SHUANG-FENG         CI 2727N 11212E 0916   
577760        NANYUE              CI 2718N 11242E 1279   
577930        YICHUN              CI 2748N 11423E 0129   
577990        JI'AN               CI 2707N 11458E 0078   
578030        ZHI-JIN             CI 2642N 10546E 1676   
578060        ANSHUN              CI 2616N 10558E 1402   
578160 ZUGY   GUIYANG             CI 2635N 10643E 1074   
578250        MA-JIANG            CI 2630N 10735E 0726   
578320        SANSUI              CI 2658N 10840E 0611   
578450        TONGDAO/SHUANGJIANG CI 2610N 10947E 0397   
578530        WUGANG              CI 2644N 11038E 0340   
578660        LINGLING            CI 2614N 11137E 0174   
578720        HENGYANG            CI 2656N 11235E 0098   
578830        CHALING             CI 2648N 11332E 0176   
579020        XINGREN             CI 2526N 10511E 1379   
579060        ZHEN-FENG           CI 2523N 10539E 0571   
579160        LUODIAN             CI 2526N 10646E 0441   
579220        DUSHAN              CI 2550N 10733E 1018   
579320        RONGJIANG/GUZHOU    CI 2558N 10832E 0287   
579470        RONG-SHUI           CI 2504N 10915E 0183   
579570 ZGKL   GUILIN              CI 2520N 11018E 0166   
579650        DAOXIAN             CI 2537N 11136E 0152   
579720        CHENZHOU            CI 2548N 11302E 0185   
579930 ZSGZ   GANZHOU             CI 2551N 11457E 0125   
579960        XIN-FENG            CI 2524N 11456E 0195   
580050        SHANGQIU            CI 3424N 11538E 0050   
580150        TANG-SHAN           CI 3425N 11620E 0044   
580270        XUZHOU              CI 3417N 11709E 0042   
580400        GANYU/DAYISHAN      CI 3450N 11908E 0010   
581020        BOXIAN              CI 3353N 11546E 0042   
581220        SUINING             CI 3354N 11757E 0026   
581380        HONGZE HU (LAKE)    CI 3320N 11840E 0002   
581440        QINGJIANG           CI 3336N 11902E 0019   
581500        SHEYANG/HEDE        CI 3346N 12015E 0007   
582030        FUYANG              CI 3256N 11550E 0039   
582080        GUSHI               CI 3210N 11540E 0058   
582150        SHOUXIAN/SHOUYANG   CI 3235N 11647E 0023   
582210        BENGBU              CI 3257N 11722E 0022   
582380 ZSNJ   NANJING/NANKING     CI 3200N 11848E 0012   
582410        GAOYOU              CI 3247N 11927E 0003   
582510        DONGTAI             CI 3252N 12019E 0005   
582590        NANTONG/JINSHA      CI 3206N 12052E 0001   
582650        LUSI                CI 3204N 12136E 0010   
583140        HUOSHAN             CI 3124N 11620E 0068   
583210 ZSOF   HEFEI/LUOGANG       CI 3152N 11714E 0036   
583380        WUHU/WANZHI         CI 3120N 11821E 0016   
583430        CHANGZHOU           CI 3146N 11957E 0015   
583450        LIYANG              CI 3126N 11929E 0008   
583580        SUZHOU              CI 3116N 12037E 0019   
583620        SHANGHAI            CI 3124N 12128E 0004   
583670 ZSSS   SHANGHAI/HONGQIAO   CI 3110N 12126E 0007   
584020        YINGSHAN            CI 3045N 11540E 0116   
584070        QIZHOU              CI 3004N 11520E 0029   
584240        ANQING              CI 3032N 11703E 0020   
584370        HUANG SHAN (MTNS)   CI 3008N 11809E 1836   
584450        TIANMU SHAN (MTNS)  CI 3021N 11925E 1494   
584570 ZSHC   HANGZHOU/JIANQIAO   CI 3014N 12010E 0043   
584640        ZHA-PU              CI 3037N 12105E 0007   
584720        SHENGSI/CAIYUANZHEN CI 3044N 12227E 0081   
584730        SHENG SHANG         CI 3043N 12249E 0197   
584740        DACHU SHAN          CI 3027N 12218E 0152   
584770        DINGHAI             CI 3002N 12207E 0037   
585060        LU SHAN (MOUNTAIN)  CI 2935N 11559E 1165   
585190        GU-XIAN-DU          CI 2905N 11653E 0031   
585270        JINGDEZHEN          CI 2918N 11712E 0060   
585310        TUNXI               CI 2945N 11815E 0061   
585490        JINHUA              CI 2909N 11938E 0035   
585560        SHENGXIAN           CI 2936N 12049E 0108   
585620        NINGBO              CI 2955N 12128E 0006   
585690        SHIPU               CI 2912N 12157E 0127   
586060 ZSCN   NANCHANG            CI 2836N 11555E 0050   
586080        QINGJIANG/ZHANGSHUZ CI 2803N 11532E 0040   
586260        SHANGRAO            CI 2829N 11759E 0090   
586330        QU XIAN             CI 2858N 11852E 0071   
586340        YUSHAN              CI 2841N 11815E 0094   
586460        LISHUI              CI 2827N 11955E 0062   
586470        LONGQUAN            CI 2806N 11905E 0180   
586590        WENZHOU             CI 2801N 12040E 0007   
586600        LINHAI              CI 2851N 12108E 0009   
586650        LUQIAO              CI 2839N 12005E 0009   
586660        DACHEN ISLAND       CI 2827N 12153E 0084   
586670        YU-HUAN             CI 2808N 12113E 0100   
587150        NANCHENG            CI 2735N 11639E 0082   
587250        SHAOWU              CI 2720N 11726E 0192   
587260        QIXIAN SHAN         CI 2757N 11750E 1415   
587300        ZHENGHE             CI 2722N 11851E 0456   
587310        PUCHENG             CI 2755N 11832E 0275   
587370        JIAN'OU             CI 2703N 11819E 0112   
587540        FUDING              CI 2720N 12012E 0038   
587650        NANJI SHAN          CI 2728N 12103E 0002   
588130        GUANGCHANG          CI 2651N 11620E 0142   
588200        SANMING             CI 2611N 11737E 0198   
588340        NANPING             CI 2639N 11810E 0128   
588460        LUOYUAN             CI 2631N 11932E 0085   
588470 ZSFZ   FUZHOU              CI 2605N 11917E 0085   
588490        MAZY (=466890)      CI 2610N 11957E 0091   
588530        TAISHAN             CI 2700N 12042E 0106   
589110        CHANGTING           CI 2551N 11622E 0311   
589180        SHANGHANG           CI 2504N 11621E 0207   
589210        YONG'AN             CI 2558N 11721E 0204   
589260        ZHANG PING          CI 2518N 11724E 0203   
589270        LONGYAN             CI 2506N 11701E 0341   
589310        JIUXIAN SHAN        CI 2543N 11806E 1651   
589440        PINGTAN             CI 2531N 11947E 0031   
589650        TAOYUAN (=466970)   CI 2503N 12113E 0048   
589680        TAIBEI (=466920)    CI 2502N 12132E 0009   
589740        PENGJIA YU(=466950) CI 2538N 12205E 0102   
590070        GUANGNAN            CI 2404N 10504E 1251   
590210        TIAN'E/LIUPAI       CI 2505N 10712E 0305   
590230        HECHI/JNCHENGJIANG  CI 2442N 10803E 0214   
590460        LIUZHOU             CI 2421N 10924E 0097   
590580        MENGSHAN            CI 2412N 11031E 0145   
590650        HEXIAN/BABU         CI 2428N 11134E 0091   
590720        LIAN XIAN           CI 2447N 11223E 0098   
590820        SHAOGUAN            CI 2448N 11335E 0068   
590870        FOGANG              CI 2352N 11332E 0068   
590960        LIANPING            CI 2422N 11429E 0214   
591020        XUNWU               CI 2457N 11539E 0299   
591170        MEI XIAN            CI 2418N 11607E 0084   
591260        ZHANGZHOU           CI 2438N 11739E 0024   
591330        JIN-JIANG           CI 2448N 11835E 0022   
591340 ZSAM   XIAMEN              CI 2429N 11805E 0139   
591520        XINZHU ISLAND       CI 2448N 12058E 0034   
591580        TAIZHONG (=467490)  CI 2409N 12042E 0078   
591620        YILAN               CI 2446N 12145E 0009   
592090        NAPO                CI 2318N 10557E 0794   
592110        BOSE                CI 2354N 10636E 0242   
592180        XINJING             CI 2308N 10625E 0740   
592280        LONG'AN             CI 2308N 10739E 0457   
592420        DA-WAN              CI 2351N 10925E 0076   
592540        GUIPING             CI 2324N 11005E 0044   
592650        WUZHOU              CI 2329N 11118E 0120   
592710        HUAIJI              CI 2357N 11212E 0057   
592780        GAOYAO              CI 2303N 11228E 0012   
592870 ZGGG   GUANGZHOU/BAIYUN    CI 2308N 11319E 0008   
592930        HEYUAN              CI 2344N 11441E 0041   
592980        HUI-YANG            CI 2305N 11425E 0016   
593030        SONG-LIN-BA         CI 2358N 11558E 0152   
593160 ZGOW   SHANTOU             CI 2324N 11641E 0003   
593170        HUILAI              CI 2305N 11618E 0030   
593450        MAGONG (=467340)    CI 2331N 11934E 0022   
593580        TAINAN (=467410)    CI 2300N 12014E 0014   
593620        HUALIAN (=467630)   CI 2401N 12137E 0014   
594170        LONGZHOU            CI 2222N 10645E 0129   
594310 ZGNN   NANNING/WUXU        CI 2249N 10821E 0073   
594460        BOBAI               CI 2215N 10958E 0121   
594530        CEN-XI              CI 2256N 11059E 0243   
594560        XINYI               CI 2221N 11056E 0084   
594620        LUODING             CI 2243N 11133E 0134   
594780        TAI-SHAN            CI 2216N 11247E 0046   
594930        SHENZHEN            CI 2233N 11406E 0018   
595010        SHANWEI             CI 2247N 11522E 0005   
595530        DONGGANG (=467470)  CI 2228N 12027E 0008   
595560        DAWU                CI 2221N 12054E 0009   
595590        HENGCHUN (=467590)  CI 2200N 12046E 0024   
595620        TAIDONG (=467660)   CI 2245N 12110E 0010   
595670        LAN YU (=467620)    CI 2202N 12134E 0325   
