010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
021860 ESPA   KALLAX/LULEA (AFB)  SN 6533N 02208E 0034   
021960        HAPARANDA           SN 6550N 02409E 0006   
021980        STOROHAMN (PORT)    SN 6544N 02306E 0008   
022000        EDEVIK              SN 6359N 01252E 0425   
022060        STORLIEN-VISJOVALEN SN 6318N 01207E 0644   
022220        GADDEDE             SN 6430N 01408E 0330   
022260 ESPC   OSTERSUND/FROSON AB SN 6311N 01430E 0370   
022320        NORRAKER            SN 6426N 01538E 0346   
022340        STROMSUND           SN 6352N 01535E 0373   
022480        KRANGEDE            SN 6310N 01610E 0223   
022520        IDVATTNET           SN 6427N 01705E 0353   
022590 ESNK   KRAMFORS (SWE-AFB)  SN 6303N 01746E 0019   
022620        LYCKSELE            SN 6435N 01839E 0234   
022670 ESNO   ORNSKOLDSVIK ARPT   SN 6324N 01858E 0103   
022780        SKAGSUDDE (LGT-H)   SN 6311N 01901E 0013   
022860 ESNU   UMEA AIRPORT        SN 6348N 02017E 0014   
022880        HOLMOGADD (LGT-H)   SN 6336N 02046E 0006   
022930 ESNS   SKELLEFTEA AIRPORT  SN 6438N 02105E 0049   
022960        BJUROKLUBB (LGT-H)  SN 6429N 02135E 0036   
023060        RORBACKSNAS         SN 6108N 01249E 0465   
023100        STORSJO KAPELL      SN 6248N 01304E 0583   
023160        SARNA               SN 6142N 01310E 0438   
023240        SVEG                SN 6202N 01422E 0360   
023260        HAMRA               SN 6139N 01500E 0455   
023360        EDSBYN              SN 6123N 01550E 0163   
023420        FRANSTA             SN 6231N 01611E 0105   
023650        SUNDSVALL/HARNOSAND SN 6232N 01728E 0006   
023660 ESNN   SUNDSVALL/HARNOSAND SN 6232N 01727E 0010   
023760 ESCL   SODERHAMN (SWE-AFB) SN 6116N 01706E 0036   
024000        OSTMARK             SN 6021N 01239E 0310   
024040 ESKV   ARVIKA              SN 5940N 01235E 0078   
024060        BLOMSKOG            SN 5917N 01203E 0110   
024100        MALUNG              SN 6041N 01343E 0308   
024120        GUSTAVSFORS         SN 6009N 01348E 0190   
024180 ESSQ   KARLSTADT AIRPORT   SN 5922N 01328E 0055   
024280        ATORP               SN 5906N 01422E 0105   
024283 ESOE   OREBRO (PRIVATE)    SN 5914N 01503E 0057   
024284 ESKM   SILJAN/MORA         SN 6058N 01431E 0193   
024350 ESSD   BORLANGE (SWE-AFB)  SN 6026N 01530E 0161   
024430 ESSK   GAVLE/SANDVIKEN AFB SN 6036N 01657E 0079   
024440        FOLKARNA            SN 6010N 01619E 0070   
024460 ESOW   VASTERAS/HASSLO AFB SN 5935N 01638E 0031   
024580 ESCM   UPPSALA (SWE-AFB)   SN 5953N 01736E 0041   
024600 ESSA   STOCKHOLM/ARLANDA   SN 5939N 01757E 0061   
024640 ESSB   STOCKHOLM/BROMMA    SN 5921N 01757E 0011   
024740        SINGO ISLAND        SN 6010N 01845E 0014   
024853 ESKN   SKAVASTA/STOCKHOLM  SN 5847N 01655E 0043   
024960        SVENSKA HOGARNA(LH) SN 5927N 01930E 0012   
025080        MASESKAR (LGT-H)    SN 5806N 01121E 0014   
025103 ESGT   TROLLHATTAN (PVT)   SN 5819N 01221E 0041   
025120 ESGP   GOTEBORG/SAVE (AFB) SN 5747N 01153E 0053   
025180        NIDINGEN (LGT-H)    SN 5718N 01154E 0005   
025200 ESIB   SATENAS (SWE-AFB)   SN 5826N 01242E 0074   
025240        MOLLA               SN 5756N 01304E 0190   
025260 ESGG   GOTEBORG/LANDVETTER SN 5740N 01218E 0169   
025270        GOTEBORG (UPR-AIR)  SN 5740N 01219E 0155   
025300        NASHUVUD            SN 5854N 01315E 0050   
025350 ESGR   SKOVDE AIRPORT      SN 5827N 01358E 0105   
025500 ESGJ   JONKOPING AIRPORT   SN 5746N 01405E 0232   
025550        NASSJO              SN 5739N 01442E 0305   
025560 ESMV   HAGSHULT (SWE-AFB)  SN 5718N 01408E 0172   
025620 ESCF   LINKOPING/MALMEN    SN 5824N 01531E 0117   
025625 ESSL   LINKOPING/SAAB      SN 5824N 01541E 0052   
025640        MALEXANDER          SN 5804N 01514E 0200   
025650 ESSF   HULTSFRED (SWE-AFB) SN 5731N 01550E 0112   
025660        MALILLA             SN 5724N 01550E 0098   
025710 ESSP   NORRKOPING/KUNGSANG SN 5835N 01615E 0008   
025760        GLADHAMMAR          SN 5743N 01628E 0035   
025820        LANDSORT (LGT-H)    SN 5845N 01752E 0032   
025840        GOTSKA SANDON (LH)  SN 5824N 01912E 0012   
025860        HARSTENA            SN 5815N 01701E 0007   
025880        FARO ISLAND         SN 5754N 01910E 0008   
025900 ESSV   VISBY AIRPORT       SN 5740N 01821E 0047   
025910 ESQV   VISBY AERO STATION  SN 5739N 01821E 0047   
025920        OLANDS NORRA UDDE   SN 5722N 01706E 0004   
026040 ESMT   HALMSTAD (SWE-AFB)  SN 5641N 01250E 0030   
026060        KULLEN (LGT-H)      SN 5618N 01227E 0072   
026070 ESDB   ANGELHOLM (SWE-AFB) SN 5618N 01251E 0047   
026160        FALSTERBO (LGT-H)   SN 5523N 01249E 0005   
026260        OSBY                SN 5622N 01357E 0085   
026300 ESDA   LJUNGBYHED(SWE-AFB) SN 5605N 01314E 0052   
026360 ESMS   MALMO/STURUP        SN 5533N 01322E 0106   
026400 ESFU   VAXJO/URASA (AFB)   SN 5652N 01448E 0166   
026410 ESMX   VAXJO/KRONOBERG     SN 5656N 01444E 0186   
026500        HANO ISLAND (LGT-H) SN 5601N 01451E 0055   
026510 ESMK   KRISTIANSTAD/EVEROD SN 5555N 01405E 0023   
026640 ESDF   RONNEBY (SWE-AFB)   SN 5616N 01517E 0074   
026660        UNGSKAR             SN 5602N 01548E 0003   
026680        KUNGSHOLMS FORT     SN 5604N 01535E 0005   
026700        KALMAR AIRPORT      SN 5641N 01618E 0017   
026720 ESMQ   KALMAR              SN 5644N 01618E 0016   
026800        HOBURG (LGT-H)      SN 5655N 01809E 0039   
028010        KILPISJARVI         FI 6903N 02047E 0476   
028050        KEVO                FI 6945N 02702E 0101   
028070 EFIV   IVALO               FI 6837N 02725E 0148   
028230        MUONIO              FI 6758N 02341E 0253   
028234 EFKT   KITTILA             FI 6742N 02451E 0643   
028360 EFSO   SODANKYLA           FI 6722N 02639E 0179   
028440 EFPE   PELLO               FI 6648N 02400E 0084   
028450 EFRO   ROVANIEMI (CIV/MIL) FI 6634N 02550E 0201   
028480        SALLA               FI 6649N 02840E 0223   
028630        KEMI I (AUT)        FI 6525N 02408E 0013   
028640 EFKE   KEMI                FI 6547N 02435E 0015   
028670 EFPU   PUDASJARVI          FI 6522N 02701E 0117   
028690 EFKS   KUUSAMO             FI 6558N 02911E 0263   
028740 EFHL   HAILUOTO ISLAND     FI 6502N 02448E 0006   
028744 EFYL   YLIVIESKA           FI 6403N 02444E 0077   
028750 EFOU   OULU/ULEABORG       FI 6456N 02522E 0015   
028790 EFSU   SUOMUSSALMI         FI 6454N 02901E 0224   
028970 EFKI   KAJAANI             FI 6417N 02741E 0136   
029010        MASSKAR             FI 6344N 02235E 0013   
029030 EFKK   KRUUNUPYY           FI 6343N 02309E 0025   
029050        NIVALA              FI 6355N 02458E 0081   
029070        ULKOKALLA (AUT)     FI 6420N 02336E 0010   
029100        VALASSAARET (LGT-H) FI 6326N 02104E 0008   
029110 EFVA   VAASA               FI 6303N 02146E 0004   
029130 EFKA   KAUHAVA (FIN-AFB)   FI 6306N 02302E 0044   
029150 EFVI   VIITASAARI          FI 6305N 02552E 0132   
029170 EFKU   KUOPIO (MIL/CIV)    FI 6301N 02748E 0102   
029190        ILOMANTSI           FI 6241N 03057E 0165   
029210        MOIKIPAA            FI 6253N 02106E 0013   
029240 EFHT   AHTARI              FI 6232N 02413E 0161   
029244 EFIL   ILMAJOKI            FI 6242N 02250E 0092   
029290 EFJO   JOENSUU             FI 6240N 02938E 0117   
029350 EFJY   JYVASKYLA (MIL/CIV) FI 6224N 02541E 0145   
029420        NIINISALO           FI 6151N 02228E 0136   
029440 EFTP   TAMPERE/PIRKKALA    FI 6125N 02335E 0112   
029450 EFHA   HALLI (FIN-AFB)     FI 6151N 02448E 0145   
029470 EFMI   MIKKELI             FI 6144N 02718E 0138   
029474 EFVR   VARKAUS             FI 6210N 02752E 0087   
029480 EFSA   SAVONLINNA (AUT)    FI 6157N 02857E 0095   
029520 EFPO   PORI (MIL/CIV)      FI 6128N 02148E 0017   
029580 EFLP   LAPPEENRANTA        FI 6105N 02809E 0106   
029610        KUUSKAJASKARI       FI 6108N 02122E 0010   
029630        JOKIOINEN           FI 6049N 02330E 0103   
029650        LAHTI               FI 6058N 02538E 0084   
029660 EFUT   UTTI (FIN-AFB)      FI 6054N 02656E 0100   
029700 EFMA   MARIEHAMN/ALAND ISL FI 6007N 01954E 0006   
029720 EFTU   TURKU/ABO           FI 6031N 02216E 0059   
029730        SUOMUSJARVI         FI 6024N 02346E 0086   
029740 EFHK   HELSINKI/VANTAA     FI 6019N 02458E 0056   
029750 EFHF   HELSINKI/MALMI    & FI 6015N 02503E 0028   
029760        RANKKI              FI 6022N 02658E 0012   
029800        NYHAMN              FI 5958N 01958E 0010   
029810        UTO ISLAND          FI 5947N 02123E 0007   
029820        RUSSARO             FI 5946N 02257E 0011   
029840        BAGASKAR            FI 5956N 02401E 0021   
029870        KALLBADAGRUND (AUT) FI 5959N 02536E 0019   
029880        ISOSAARI            FI 6006N 02504E 0005   
029900        KUMLINGE ISLAND     FI 6018N 02045E 0005   
029930        MARKET (AUT)        FI 6018N 01908E 0011   
030010        MUCKLE FLUGGA (LH)  UK 6051N 00053W 0053   
030020        BALTASOUND (SAWS)   UK 6045N 00051W 0015   
030030 EGPB   SUMBURGH (CAPE)     UK 5953N 00118W 0005   
030040        COLLAFIRTH HILL     UK 6032N 00123W 0228   
030050        LERWICK/SHETLAND IS UK 6008N 00111W 0084   
030060        SELLA NESS (AUT)    UK 6027N 00116W 0008   
030064 EGPM   SCATSA/SHETLAND ISL UK 6026N 00118W 0022   
030065 EGPW   UNST ISLAND         UK 6044N 00049W 0285   
030070        MUCKLE HOLM (AUT)   UK 6035N 00116W 0022   
030080        FAIR ISLE           UK 5932N 00138W 0059   
030090        NORTH RONALDSAY ISL UK 5922N 00225W 0011   
030100        SULE SKERRY (AUT)   UK 5905N 00424W 0016   
030110        NORTH RONA ISL AWS  UK 5907N 00549W 0098   
030130        FOULA ISLAND (AUX)  UK 6009N 00204W 0022   
030140        FOULA ISLAND (AUT)  UK 6007N 00204W 0013   
030170 EGPA   KIRKWALL AIRPORT    UK 5857N 00254W 0021   
030210        LOCHBOISDALE        UK 5709N 00719W 0006   
030220 EGPL   BENBECULA ISLAND    UK 5728N 00722W 0006   
030240        HYSKEIR (LGT-H)     UK 5658N 00641W 0010   
030250        BUTT OF LEWIS (LH)  UK 5831N 00616W 0023   
030260 EGPO   STORNOWAY           UK 5813N 00619W 0013   
030270        WATERSTEIN (AUX)    UK 5726N 00646W 0092   
030310        LOCH GLASCARNOCH    UK 5743N 00453W 0265   
030340        AULTBEA (AUT)       UK 5752N 00538W 0011   
030350        BARRA ISLAND        UK 5702N 00727W 0003   
030380        FORT WILLIAM        UK 5650N 00506W 0020   
030400        KILMORY (AUX)       UK 5646N 00603W 0045   
030410        AONACH MOR.(AMOS)   UK 5649N 00458W 1130   
030440        ALTNAHARRA          UK 5817N 00426W 0080   
030470        TULLOCH BRIDGE(AUT) UK 5652N 00442W 0237   
030490        CAPE WRATH (LGT-H)  UK 5838N 00500W 0112   
030540        STRATHY PT. (LGT-H) UK 5836N 00401W 0032   
030550        RACKWICK            UK 5852N 00323W 0020   
030570        FOYERS              UK 5716N 00429W 0021   
030580        INVERGORDON HARBOUR UK 5741N 00410W 0003   
030590 EGPE   INVERNESS/DALCROSS  UK 5732N 00403W 0009   
030600        TUMMEL BRIDGE       UK 5642N 00401W 0145   
030620 EGQA   TAIN RANGE (SAWS)   UK 5749N 00358W 0004   
030630        AVIEMORE            UK 5712N 00350W 0220   
030650        CAIRNGORM MTNS(AUT) UK 5707N 00338W 1245   
030660 EGQK   KINLOSS RAF         UK 5739N 00334W 0007   
030670        FEALAR LODGE        UK 5654N 00338W 0560   
030680 EGQS   LOSSIEMOUTH RAF     UK 5743N 00319W 0013   
030700        GLENLIVET           UK 5721N 00321W 0215   
030710        GRANTOWN-ON-SPEY    UK 5720N 00338W 0335   
030740        SCRABSTER HARBOUR   UK 5837N 00333W 0010   
030750 EGPC   WICK                UK 5827N 00305W 0039   
030760        TEMP FOR 03075      UK 5827N 00306W 0039   
030770        LYBSTER             UK 5819N 00317W 0085   
030800        ABOYNE (SAWS)       UK 5705N 00250W 0140   
030850        INCHMARLO           UK 5704N 00232W 0080   
030880        INVERBERVIE (SAWS)  UK 5651N 00216W 0134   
030910 EGPD   ABERDEEN/DYCE       UK 5712N 00213W 0065   
030920        PETERHEAD HARBOUR   UK 5730N 00146W 0005   
030940        ROSEHEARTY          UK 5742N 00207W 0004   
031000 EGPU   TIREE ISLAND        UK 5630N 00653W 0012   
031020        ORSAY (LGT-H)       UK 5540N 00630W 0023   
031053 EGPI   ISLAY/PORT ELLEN  & UK 5541N 00615W 0018   
031110 EGQJ   MACHRIHANISH RAF    UK 5526N 00542W 0013   
031140        OBAN                UK 5625N 00528W 0004   
031180        CORSEWALL PT. (LH)  UK 5500N 00509W 0015   
031200        LOCHRANZA           UK 5542N 00518W 0008   
031320 EGOY   WEST FREUGH (AUT)   UK 5451N 00457W 0012   
031350 EGPK   PRESTWICK(CIV/NAVY) UK 5530N 00435W 0020   
031360        PRESTWICK(ROYAL)    UK 5531N 00435W 0028   
031370        WHITHORN            UK 5442N 00425W 0040   
031380        GREENOCK (AUX)      UK 5558N 00448W 0010   
031400 EGPF   GLASGOW AIRPORT     UK 5552N 00426W 0008   
031440        STRATHALLAN (AUT)   UK 5619N 00344W 0035   
031520        SALSBURGH           UK 5552N 00352W 0275   
031530        DUNDRENNAN (AUT)    UK 5448N 00400W 0114   
031540        DUMFRIES/DRUNGANS   UK 5503N 00339W 0016   
031550        DRUMALBIN           UK 5537N 00345W 0237   
031573 EGPT   PERTH/SCONE       & UK 5627N 00322W 0121   
031580        CHARTERHALL (AUT)   UK 5542N 00223W 0112   
031600 EGPH   EDINBURGH AIRPORT & UK 5557N 00321W 0041   
031610        EDDLESTON           UK 5542N 00313W 0195   
031620        ESKDALEMUIR         UK 5519N 00312W 0242   
031634 EGPN   DUNDEE/RIVERSIDE    UK 5627N 00301W 0004   
031650 EGOM   SPADEADAM           UK 5503N 00233W 0325   
