RWK	AIR TOURISME INSTRUCTION SERVICES	AIRAWAK	FRANCE
RWL	RWL GERMAN FLIGHT ACADEMY GMBH, MOENCHENGLADBACH	RHEINTRAINER	GERMANY
RWN	RED WINGS, S.A. DE C.V.	ROJAS	MEXICO
RWY	AEROGROUP 98 LIMITED	TYNWALD	UNITED KINGDOM
RWZ	AIRLINES 400 JSC (RED WINGS AIRLINES)	AIR RED	RUSSIAN FEDERATION
RXP	RAM EXPRESS	EXPRESS MAROC	MOROCCO
RXT	AEROXTRA, S.A. DE C.V.	AERO-EXTRA	MEXICO
RYA	RYAN AIR, INC. (ANCHORAGE, AK)	RYAN AIR	UNITED STATES
RYB	ROYAL BAHRAIN AIRLINES BSC (CLOSED)	ROYAL BAHRAIN	BAHRAIN
RYJ	AEROTAXIS DEL MEDITERRANEO S.L.	RYJET	SPAIN
RYN	RYAN AVIATION CORPORATION D/B/A RYAN INTERNATIONAL AIRLINES (WICHITA,KS)	RYAN INTERNATIONAL	UNITED STATES
RYR	RYANAIR	RYANAIR	IRELAND
RYW	ROYAL WINGS	ROYAL WINGS	JORDAN
RYZ	RYAZAN STATE AIR ENTERPRISE	RYAZAN AIR	RUSSIAN FEDERATION
RZA	JET FIGHTER FLIGHTS PTY LTD	RAZOR	AUSTRALIA
RZJ	RIZON JET	RIZON JET	UNITED ARAB EMIRATES
RZL	AERO ZAMBIA LIMITED	AERO ZAMBIA	ZAMBIA
RZN	AERO ZANO, S.A. DE C.V.	ZANO	MEXICO
RZO	SATA INTERNACIONAL	AIR AZORES	PORTUGAL
RZQ	RIZON QATAR	RIZON	QATAR
RZR	ZEPHYR EXPRESS (BURBANK, CA)	RECOVERY	UNITED STATES
RZT	SUN RITZ JET CO., LTD	RITZ JET	CHINA
RZU	ZHERSU AVIA	ZHERSU AVIA	KAZAKHSTAN
SAA	SOUTH AFRICAN AIRWAYS (SAA)	SPRINGBOK	SOUTH AFRICA
SAB	SKY WAY AIR	SKY WORKER	KYRGYZSTAN
SAC	SUDANESE AERONAUTICAL SERVICES CO. LTD (SASCO AIRLINES)	SASCO	SUDAN
SAD	SPETS AVIA INDASTRIA, MAC	INDASTRIA	UKRAINE
SAE	SAMPOERNA AIR NUSANTARA, PT.	SAMPOERNA	INDONESIA
SAF	REPUBLIC OF SINGAPORE AIR FORCE	SINGA	SINGAPORE
SAG	SVENSK FLYGAMBULANS AB	MEDICAL AIR	SWEDEN
SAH	SAYAKHAT	SAYAKHAT	KAZAKHSTAN
SAI	SHAHEEN AIR INTERNATIONAL	SHAHEEN AIR	PAKISTAN
SAK	RED ARROWS DISPLAY SQUADRON	RED ARROWS	UNITED KINGDOM
SAM	SAM, SOCIEDAD AERONAUTICA DE MEDELLIN	SAM	COLOMBIA
SAN	SILVAIR SP. Z.O.O.	SILVAIR NET	POLAND
SAO	SAHEL AVIATION SERVICE	SAVSER	MALI
SAP	AVIA JAYNAR, AIR COMPANY LLC	TOBOL	KAZAKHSTAN
SAR	SPRINTAIR CARGO SP. Z.O.O.	SPRINTAIR CARGO	POLAND
SAS	SCANDINAVIAN AIRLINES SYSTEM	SCANDINAVIAN	SWEDEN
SAT	SERVICO ACOREANO DE TRANSPORTES AEREOS - EP (SATA)	SATA	PORTUGAL
SAW	SHAM WING AIRLINES	SHAMWING	SYRIAN ARAB REPUBLIC
SAX	SABAHAIR AVIATION SDN. BHD.	SABAH AIR	MALAYSIA
SAY	SUCKLING AIRWAYS	SUCKLING	UNITED KINGDOM
SAZ	SWISS AIR-AMBULANCE LTD., ZURICH	SWISS AMBULANCE	SWITZERLAND
SBA	SOL LINHAS AEREAS LTDA	SOL BRASIL	BRAZIL
SBC	MOUNT AIR CC T/A EMOYENI AIR CHARTER	SABIAN AIR	SOUTH AFRICA
SBD	SIBIA LTD	SIBIA	RUSSIAN FEDERATION
SBE	WORLD CLASS AVIATION (HOUSTON, TX)	STARBASE	UNITED STATES
SBF	SEVEN BAR FLYING SERVICE, INC. (ALBUQUERQUE, NM)	S-BAR	UNITED STATES
SBH	AEROSAAB, S.A. DE C.V.	AEROSAAB	MEXICO
SBI	SIBERIA AIRLINES	SIBERIAN AIRLINES	RUSSIAN FEDERATION
SBJ	TRANS SAHARA AIR LTD	TRANS SAHARA	NIGERIA
SBK	BLUE SKY AVIATION SERVICES LTD	MAWINGU	KENYA
SBL	SOBEL AIRLINES OF GHANA	SOBGHANA	GHANA
SBM	SKY BAHAMAS	TROPICAL SKY	BAHAMAS
SBN	SKYBOSNIA D.O.O.	SKYBOSNIA	BOSNIA AND HERZEGOVINA
SBO	STABO AIR LIMITED	STABAIR	ZAMBIA
SBP	SHAHIN BALL PARVAZ	SHAHIN BALL	IRAN (ISLAMIC REPUBLIC OF)
SBQ	SMITHKLINE BEACHAM CLINICAL LABS	SKIBBLE	UNITED STATES
SBR	SABER AVIATION INC. (CHARLOTTE, NC)	FREIGHTER	UNITED STATES
SBS	SEABORNE AIRLINES (CHRISTIANSTED, USVI)	SEABORNE	UNITED STATES
SBT	TAFTAN AIRLINES	TAFTAN	IRAN (ISLAMIC REPUBLIC OF)
SBU	SAINT BARTH COMMUTER	BLACK FIN	FRANCE
SBV	SKYBLUE AVIATION LTD	RIPPLE	UNITED KINGDOM
SBZ	SCIBE AIRLIFT	SCIBE AIRLIFT	DEMOCRATIC REPUBLIC OF THE CONGO
SCA	SOUTH CENTRAL AIR, INC. (KENAI, AK)	SOUTH CENTRAL	UNITED STATES
SCB	SAO PAULO AIR TRANSPORTS LTDA	SP CARGO	BRAZIL
SCC	SEACOAST AIRLINES, INC. (CLEARWATER, FL)	SEA-COASTER	UNITED STATES
SCD	ASSOCIATED AVIATION LIMITED	ASSOCIATED	NIGERIA
SCE	SCENIC AIRLINES, INC. (N. LOS VEGAS, NV)	SCENIC	UNITED STATES
SCF	SOCOFER, LDA	SOCOFER	ANGOLA
SCG	SERVICIOS AEREOS COSTA CALIDA, S.L.	COSTA CALIDA	SPAIN
SCH	SCENIC AIR AG	SHARE PLANE	SWITZERLAND
SCI	SERVICIOS AEREOS SAN CRISTOBAL	SAN CRISTOBAL	MEXICO
SCK	SKY CAM	SKYCAM	FRANCE
SCL	SHELL CANADA	SHELL CANADA	CANADA
SCM	AMERICAN JET INTERNATIONAL CORP. (HOUSTON, TX)	SCREAMER	UNITED STATES
SCN	SOUTH AMERICAN AIRLINES	SOUTH AMERICAN	PERU
SCO	SCOOT PTE LTD	SCOOTER	SINGAPORE
SCP	HELICOPTER.PL S.A.	SKY COPTER	POLAND
SCQ	BF SCANDINAVIAN AVIATION ACADEMY AB	SCAVAC	SWEDEN
SCR	SILVER CLOUD AIR GMBH, SCHIFFERSTADT	SILVER CLOUD	GERMANY
SCS	CHARTERS (SOUTH AFRICAN NON SCHEDULED AIRWAYS (PTY) LTD)	SOUTHERN CHARTERS	SOUTH AFRICA
SCT	SAAB-AIRCRAFT AB	SAAB-CRAFT	SWEDEN
SCU	AIR SCORPIO	SCORPIO UNIVERS	BULGARIA
SCV	SERVICIOS AEREOS DEL CENTRO, S.A. DE C.V.	SACSA	MEXICO
SCW	MALMO AVIATION AB	SCANWING	SWEDEN
SCX	MN AIRLINES, LLC, D/B/A SUN COUNTRY AIRLINES (MENDOTA HEIGHTS, MN)	SUN COUNTRY	UNITED STATES
SDB	SHORELINE AVIATION, LLC (OXFORD, CT)	SHORE AIR	UNITED STATES
SDC	SUNRISE AIRLINES (PAGE, AZ)	SUNDANCE	UNITED STATES
SDD	R I C INC., D/B/A SKYMASTER AIR TAXI (LACONIA, NH)	SKY DANCE	UNITED STATES
SDE	AIR PARTNERS CORP.	STAMPEDE	CANADA
SDJ	CLUB 328 LTD	SPACEJET	UNITED KINGDOM
SDK	SOCIEDAD AEREA DEL CAQUETA LTDA	SADELCA	COLOMBIA
SDL	SKYDRIFT LTD	SKYDRIFT	UNITED KINGDOM
SDM	ROSSIYA AIRLINES, OPEN JSC	RUSSIA	RUSSIAN FEDERATION
SDN	SPIRIT OF AFRICA AIRLINES	BLUE NILE	SUDAN
SDO	AEROLINEAS SANTO DOMINGO, S.A.	AERO DOMINGO	DOMINICAN REPUBLIC
SDP	AERO SUDPACIFICO, S.A.	SUDPACIFICO	MEXICO
SDR	CITY AIRLINE AB	SWEDESTAR	SWEDEN
SDS	CAA TRAINING STANDARDS	STANDARDS	UNITED KINGDOM
SDT	SERVICIOS AEREOS DEL ATLANTICO, S.L.	SADAT	SPAIN
SDV	SERVICIOS AEREOS DEL VAUPES LTDA.	SELVA	COLOMBIA
SDX	SERVICIO TECNICO AERO DE MEXICO, S.A. DE C.V.	SERVICIO TECNICO	MEXICO
SDY	ISLAND EXPRESS (FT. LAUDERDALE, FL)	SANDY ISLE	UNITED STATES
SDZ	SUDAN PEZETEL FOR AVIATION	SUDANA	SUDAN
SEA	SOUTHEAST AIR, INC. (NEW BEDFORD, MA)	SOUTHEAST AIR	UNITED STATES
SEB	SERVICIOS AEREOS LUCE, S.A. DE C.V.	SERVILUCE	MEXICO
SEC	3D AVIATION, INC. (HELENA, MT)	SECUREX	UNITED STATES
SED	SEDONA AIR CENTER (WEST SEDONA, AZ)	SEDONA AIR	UNITED STATES
SEF	AERO SERVICIOS EJECUTIVAS DEL PACIFICO, S.A DE C.V.	SERVIPACIFICO	MEXICO
SEG	EAGLE INTERNATIONAL	SEN-EAGLE	SENEGAL
SEH	SKY EXPRESS S.A.	AIR CRETE	GREECE
SEI	TRANSPORTES AEREOS SIERRA MADRE, S.A. DE C.V.	TRANSPORTE SIERRA	MEXICO
SEJ	SPICEJET	SPICEJET	INDIA
SEK	SKYJET JSC	SKALA	KAZAKHSTAN
SEL	SENTEL CORPORATION (NEWPORT NEWS, VA)	SENTEL	UNITED STATES
SEM	CAPE CENTRAL AIRWAYS, INC. (CAPE GIRARDEAU, MO)	SEMO	UNITED STATES
SEN	SEVENAIR	SEVAIR	TUNISIA
SEO	SELCON AIRLINES LTD	SELCON AIR	NIGERIA
SEQ	SKY EYES CO., LTD	SKY EYES	THAILAND
SER	AEROCALIFORNIA, S.A.	AEROCALIFORNIA	MEXICO
SES	SERVICIO AEREO SALTILLO, S.A. DE C.V.	SERVISAL	MEXICO
SET	SOLENTA AVIATION (PTY) LTD	SOLENTA	SOUTH AFRICA
SEV	SERAIR TRANSWORLD PRESS, S.L.	CARGOPRESS	SPAIN
SEY	AIR SEYCHELLES	SEYCHELLES	SEYCHELLES
SFA	ENAC	SEFA	FRANCE
SFD	SPEED FLY	DRACO	SPAIN
SFE	SEFOFANE AIR CHARTERS (PTY) LTD	SEFOFANE	SOUTH AFRICA
SFF	SAFEWING AVIATION COMPANY, INC. (KANSAS CITY, MO)	SWIFTWING	UNITED STATES
SFH	NORTH AMERICAN JET CHARTER GROUP, LLC (WHEELING, IL)	STARFISH	UNITED STATES
SFJ	STAR FLYER INC	STARFLYER	JAPAN
SFL	SWIFT AIR	SWIFTLINE	BAHRAIN
SFM	A-SAFAR AIR SERVICES LIMITED	AIR SAFAR	NIGERIA
SFN	SAFIRAN AIRLINES	SAFIRAN	IRAN (ISLAMIC REPUBLIC OF)
SFQ	SAHARA AIR CARGO	SAHARA CARGO	UNITED REPUBLIC OF TANZANIA
SFR	SAFAIR (PTY.) LTD	SAFAIR	SOUTH AFRICA
SFS	SWISS FLIGHT SERVICES	TOPO	SWITZERLAND
SFT	SKYFREIGHT, INC. (SEATTLE, WA)	SKYFREIGHT	UNITED STATES
SFU	SOLENT FLIGHT LIMITED	SAINTS	UNITED KINGDOM
SFV	SAFE SERVICIOS AEREOS, S.A. DE C.V.	SAFE SERVICIOS	MEXICO
SFW	SAFI AIRWAYS	SAFI AIRWAYS	AFGHANISTAN
SFX	S.K. LOGISTICS, INC. (ST. AUGUSTINE, FL)	SWAMP FOX	UNITED STATES
SFY	GULF FLITE CENTER, INC. (SARASOTA, FL)	SKY FLITE	UNITED STATES
SGA	SOL LINEAS AEREAS URUGUAYAS (CUWEROY S.A.)	SOL URUGUAY	URUGUAY
SGB	SKY KING, INC. (SACRAMENTO, CA)	SONGBIRD	UNITED STATES
SGC	SOUTHERN RIGHT AIR CHARTER CC	SOUTHERNRIGHT	SOUTH AFRICA
SGF	SWISS GOVERNMENT FLIGHTS (STAC)	STAC	SWITZERLAND
SGG	SENEGAL AIRLINES	SENEGAL AIR	SENEGAL
SGH	SERVISAIR LTD.	SERVISAIR	UNITED KINGDOM
SGK	SUPREME AVIATION	SUPREME	KYRGYZSTAN
SGL	S. GROUP AVIATION	ESS-GROUP AVIATION	KYRGYZSTAN
SGM	SKY AIRCRAFT SERVICE	SIGMA	NETHERLANDS
SGN	SIAM GENERAL AVIATION CO., LTD	SIAM	THAILAND
SGP	SAGOLAIR TRANSPORTES EJECUTIVOS S.L.	SAGOLAIR	SPAIN
SGS	SASKATCHEWAN GOVERNMENT EXECUTIVE AIR SERVICE	SASKATCHEWAN	CANADA
SGT	STARGATE AVIATION CC	STARGATE	SOUTH AFRICA
SGU	SOL DEL PARAGUAY LINEAS AEREAS S.A.	SOLPARAGUAYO	PARAGUAY
SGV	AEROSEGOVIA, S.A.	SEGOVIA	NICARAGUA
SHA	SHREE AIRLINES	SHREE-AIR	NEPAL
SHB	SHABAIR	SHABAIR	DEMOCRATIC REPUBLIC OF THE CONGO
SHC	SKY HARBOR AIR SERVICE INC. (CHEYENNE, WY)	SKY HARBOR CHEYENNE	UNITED STATES
SHE	SHELL AIRCRAFT LTD.	SHELL	UNITED KINGDOM
SHF	SUPPORT HELICOPTER FORCE	VORTEX	UNITED KINGDOM
SHG	SHOPRITE GROUP LTD	SHOP AIR	UNITED KINGDOM
SHH	AIRSHARE HOLDINGS	AIRSHARE	UNITED KINGDOM
SHI	SEOUL AIR INTERNATIONAL	SEOUL AIR	REPUBLIC OF KOREA
SHJ	SHARJAH RULER'S FLIGHT	SHARJAH	UNITED ARAB EMIRATES
SHL	SAMSON AVIATION LTD	SAMSON	UNITED KINGDOM
SHM	SHELTAM AVIATION CC	SHELTAM	SOUTH AFRICA
SHN	SHAHEEN AIRPORT SERVICES	SUGAR ALFA	PAKISTAN
SHP	SAF HELICOPTERES	SAF	FRANCE
SHQ	SHANGHAI AIRLINES CARGO INTERNATIONAL COMPANY	SHANGHAI CARGO	CHINA
SHR	AIR SYLHET AG	SYLHET	AUSTRIA
SHS	SUHUR AIRWAYS	SHURA AIR	ETHIOPIA
SHT	BRITISH AIRWAYS SHUTTLE	SHUTTLE	UNITED KINGDOM
SHU	SAKHALINSKIE AVIATRASSY (SAT)	SATAIR	RUSSIAN FEDERATION
SHV	SHAVANO AIR, INC. (PONCHA SPRINGS, CO)	SHAVANO	UNITED STATES
SHX	SLIM AVIATION SERVICES LIMITED	SLIM AIR	NIGERIA
SHY	SKY AIRLINES	SKY POWER	TURKEY
SHZ	AIRSHARES ELITE (ATLANTA, GA)	ELITE SHARES	UNITED STATES
SIA	SINGAPORE AIRLINES LIMITED	SINGAPORE	SINGAPORE
SIC	SFS AVIATION CO., LTD	SICHART	THAILAND
SID	SIDERAL LINHAS AEREAS LTDA.	SIDERAL	BRAZIL
SIE	SIERRA EXPRESS (RENO, NV)	SEREX	UNITED STATES
SII	AERO SERVICIOS EJECUTIVOS INTERNACIONALES, S.A. DE C.V.	ASEISA	MEXICO
SIK	SIKA AIRLINES	SIKA	GHANA
SIL	SILVER AIRWAYS CORP (FT. LAUDERDALE, FL)	SILVER WINGS	UNITED STATES
SIO	SIRIO S.P.A.	SIRIO	ITALY
SIR	SALAIR, INC. (SEATTLE, WA)	SALAIR	UNITED STATES
SIS	SCOTT AVIATION (FRESNO, CA)	SILVERSPEED	UNITED STATES
SIV	SOLENTA AVIATION - CI	SOLENT-IVOIRE	COTE D' IVOIRE
SIW	SIRIO EXECUTIVE S.R.L.	SIRIO EXECUTIVE	ITALY
SIZ	AERO SILZA, S.A. DE C.V.	AEROSILZA	MEXICO
SJA	SERVICIOS AEREOS ESPECIALES DE JALISCO, S.A. DE C.V.	SERVICIOJAL	MEXICO
SJC	SERVICIOS EJECUTIVOS CONTINENTAL, S.A. DE C.V.	SERVIEJECUTIVO	MEXICO
SJE	SUNAIR 2001 (PTY) LTD	SUNBIZ	SOUTH AFRICA
SJJ	SPIRIT JETS, LLC (CHESTERFIELD, MO)	SPIRIT JET	UNITED STATES
SJK	NUSANTARA AIR CHARTER, PT.	NUSANTARA	INDONESIA
SJL	SERVICIOS ESPECIALES DEL PACIFICO JALISCO, S.A. DE C.V.	SERVICIOS JALISCO	MEXICO
SJN	CHARTAIR, INC. D/B/A AIR SAN JUAN (FRIDAY HARBOR, WA)	SAN JUAN	UNITED STATES
SJT	SWISS JET LTD	SWISS JET	SWITZERLAND
SJY	SRIWIJAYA AIR, PT.	SRIWIJAYA	INDONESIA
SKA	PREMIER AVIATION GROUP LTD D/B/A SKYLAN AIRWAYS	SKYLAN AIRWAYS	JAMAICA
SKB	SKYBUS AIRLINES, INC (COLUMBUS, OH)	SKYBUS	UNITED STATES
SKC	SKYMASTER AIR LINES LTDA	SKYMASTER AIR	BRAZIL
SKD	SKY HARBOR AIR SERVICE, INC. (OMAHA, NE)	SKY DAWG	UNITED STATES
SKE	SKY TOURS, INC. (PORT CLINTON, OH)	SKYISLE	UNITED STATES
SKF	SKYCRAFT, INC. (SEATTLE, WA)	SKYCRAFT	UNITED STATES
SKG	SKY GABON	SKY GABON	GABON
SKH	BRITISH SKY BROADCASTING LTD	SKYNEWS	UNITED KINGDOM
SKI	SKYKING LTD	SKYKING	UNITED KINGDOM
SKJ	SKY NET AIRLINE	SKYNET AIR	ARMENIA
SKK	ASKY	ASKY AIRLINE	TOGO
SKL	SKYCHARTER (MALTON) LIMITED	SKYCHARTER	CANADA
SKM	FAYETTEVILLE FLYING SERVICE AND SCHEDULED SKYWAYS SYSTEM (FAYETTEVILLE, AR)	SKYTEM	UNITED STATES
SKN	SKYLINE AVIATION SERVICES, INC. (BEAVER FALLS, PA)	SKYLINER	UNITED STATES
SKO	SCOTTISH AIRWAYS FLYERS LTD	SKYWORK	UNITED KINGDOM
SKP	SKYTRANS PTY LTD T/A SKYTRANS AIRLINES	SKYTRANS	AUSTRALIA
SKQ	LABCORP, INC. (BURLINGTON, NC)	SKYLAB	UNITED STATES
SKR	SKYSCAPES AIR CHARTERS	SKYSCAPES	SOUTH AFRICA
SKT	SKYSTAR AIRWAYS CO., LTD	SKY YOU	THAILAND
SKU	SKY SERVICE	AEROSKY	CHILE
SKV	SKY REGIONAL AIRLINES INC.	MAPLE	CANADA
SKW	SKY WEST AVIATION, INC. (ST. GEORGE, UT)	SKYWEST	UNITED STATES
SKX	SKYWAYS EXPRESS AB	SKY EXPRESS	SWEDEN
SKY	SKYMARK AIRLINES INC.	SKYMARK	JAPAN
SKZ	SKYWAY ENTERPRISES, INC. (KISSIMMEE, FL)	SKYWAY-INC	UNITED STATES
SLB	SLOK AIR LIMITED	SLOK AIR	NIGERIA
SLC	SERVICES AERIENS LATINO-AMERICAINS D/B/A SALSA S.A.	SALSA	HAITI
SLD	SILVER AIR LTD	SILVERLINE	CZECH REPUBLIC
SLE	STREAMLINE NAC	SLIPSTREAM	SOUTH AFRICA
SLF	SILVER BIRD CHARTERFLUG GMBH, SAARBRUCKEN	SILVER FOX	GERMANY
SLG	SASKATCHEWAN GOVERNMENT AIR AMBULANCE SERVICE	LIFEGUARD	CANADA
SLH	SILVERHAWK AVIATION, INC. (SEWARD, NE)	SILVERHAWK	UNITED STATES
SLI	AEROLITORAL, S.A. DE C.V.	COSTERA	MEXICO
SLJ	SLAM LAVORI AEREI S.R.L.	SLAMAIR	ITALY
SLK	SILKAIR (SINGAPORE) PTE LTD	SILKAIR	SINGAPORE
SLM	SURINAAMSE LUCHTVAART MAATSCHAPPIJ N.V.	SURINAM	SURINAME
SLN	SLOANE AVIATION LTD	SLOANE	UNITED KINGDOM
SLO	EDGARTOWN AIR, INC. (EDGARTOWN, MA)	SLOW	UNITED STATES
SLP	SALPA AVIATION CO. LTD. (SUDAN)	SALPA	SUDAN
SLQ	SKYLINK EXPRESS INC	SKYLINK	CANADA
SLR	SILVERJET AVIATION LTD	SILVERJET	UNITED KINGDOM
SLS	SERVICIOS AEREOS SLAINTE, S.A. DE C.V.	SERVICIOS SLAINTE	MEXICO
SLT	STARLIGHT AIRLINE STP, S.A.	STARLIGHT CARGO	SAO TOME AND PRINCIPE
SLU	AVIO SLUZBA	AVIO SLUZBA	SERBIA
SLV	STELLA AVIATION	AVISTELLA	MAURITANIA
SLW	SALAMA AIRLINES NIGERIA LIMITED	SALMA AIR	NIGERIA
SLX	SETE LINHAS AEREAS LTDA.	SETE	BRAZIL
SLY	SKY LINE FOR AIR SERVICES LTD	SKYCO	SUDAN
SLZ	SUPER LUZA	LUZA	ANGOLA
SMA	SMA AIRLINES NIG. LIMITED	SESAME	NIGERIA
SMC	SMAC (SABANG MERAUKE RAYA AIR CHARTER), PT.	SAMER	INDONESIA
SMD	SERVICIOS AEREOS LA MARQUESA, S.A. DE C.V.	SERVICIOS MARQUESA	MEXICO
SMF	SMALANDSFLYG AB	GORDON	SWEDEN
SMH	SMITHAIR, INC. (ATLANTA, GA)	SMITHAIR	UNITED STATES
SMI	AERO SAMI, S.A. DE C.V.	SAMI	MEXICO
SMJ	AVIENT AVIATION	AVAVIA	ZIMBABWE
SMK	SEMEYAVIA	ERTIS	KAZAKHSTAN
SML	SIMARGL LTD, AIRCOMPANY	SIMAVIA	RUSSIAN FEDERATION
SMM	SUMMIT AIRLINES (PHILADELPHIA, PA)	SUMMIT-AIR	UNITED STATES
SMO	SERVICIOS AEREOS AUTOMOTRIZ, S.A. DE C.V.	SERVIAUTOMOTRIZ	MEXICO
SMP	SIMPLEJET LV LTD	SIMPLE JET	LATVIA
SMQ	SAMAR AIR	SAMAR AIR	TAJIKISTAN
SMR	SOMON AIR	SOMON AIR	TAJIKISTAN
SMS	LINHAS AEREAS SANTOMENSES	SANTOMENSES	SAO TOME AND PRINCIPE
SMT	SKYLINE LTD	SKYLIMIT	NIGERIA
SMU	SANBORN MAP COMPANY (COLORADO SPRINGS, CO)	SPRINGER	UNITED STATES
SMV	SMART AVIATION	SMART AVIATION	FRANCE
SMW	CARPATAIR FLIGHT TRAINING	SMART WINGS	ROMANIA
SMX	C.A.I. FIRST S.P.A.	ALIEXPRESS	ITALY
SMY	SAMA LELTAYARAN	NAJIM	SAUDI ARABIA
SMZ	RAF SCAMPTON	SCAMPTON	UNITED KINGDOM
SNA	SENATOR AVIATION CHARTER GMBH, KOELN	SENATOR	GERMANY
SNB	STERLING AIR A/S	STERLING	DENMARK
SNC	AIR CARGO CARRIERS, INC. (MILWAUKEE, WI)	NIGHT CARGO	UNITED STATES
SND	SKYTRADERS PTY LTD	SNOWBIRD	AUSTRALIA
SNE	SERVICIOS AEREOS DE NICARAGUA, S.A. (SANSA)	SANSA	NICARAGUA
SNF	SUNAIR	MATZADA	ISRAEL
SNG	AIR SENEGAL INTERNATIONAL	AIR SENEGAL	SENEGAL
SNH	SENAIR SERVICES	SENSERVICE	SENEGAL
SNI	SAVANAH AIRLINES LIMITED	SAVANAHLINE	NIGERIA
SNJ	SKYNET ASIA AIRWAYS CO., LTD	NEWSKY	JAPAN
SNK	SUN JET INTERNATIONAL, INC. D/B/A SOUTHEAST AIRLINES (LARGO, FL)	SUN KING	UNITED STATES
SNL	SOONAIR LINES, INC. (TULSA, OK)	SOONAIR	UNITED STATES
SNM	SERVIZI AEREI SPA	SERVIZI AEREI	ITALY
SNO	SONI AVIONES, S.A. DE C.V.	SONAVI	MEXICO
SNP	SUN PACIFIC INTERNATIONAL, INC. (TUCSON, AZ)	SUN PACIFIC	UNITED STATES
SNQ	SUN QUEST EXECUTIVE AIR CHARTER, INC. (PACOIMA, CA)	EXECU-QUEST	UNITED STATES
SNR	SUN AIR CO.	SUN GROUP	SUDAN
SNT	SUNCOAST AVIATION, INC.(CLEARWATER,FL)	SUNCOAST	UNITED STATES
SNV	SUDANESE STATES AVIATION CO. LTD	SUDANESE	SUDAN
SNW	SUN WEST AIRLINES (SCOTTSDALE, AZ)	SUN WEST	UNITED STATES
SNX	AIR SWEDEN AVIATION AB	SNOWFLAKE	SWEDEN
SNY	SERVICIOS AERONAUTICOS DE NAYARIT, S.A. DE C.V.	NAYARIT	MEXICO
SOA	SOUTHERN AIR CHARTER	SOUTH AIRCHARTER	BAHAMAS
SOB	STABO FREIGHT LIMITED	STABO	ZAMBIA
SOC	SERVIAEREO, S.A. DE C.V.	SERVIAEREO	MEXICO
SOD	AEROLINEAS SOL, S.A. DE C.V.	ALSOL	MEXICO
SOE	AIR SOLEIL, SOCIETE	AIR SOLEIL	MAURITANIA
SOF	SOL AIR	SKY COMFORT	ZIMBABWE
SOH	SOUTHERN OHIO AVIATION SALES CO. (W. CARROLLTON, OH)	SOUTHERN OHIO	UNITED STATES
SOI	SOUTHERN AVIATION LIMITED	SOAVAIR	ZAMBIA
SOK	S.A.C. INDUSTRIES, LLC (BOZEMAN, MT)	SNOW SKI	UNITED STATES
SOL	SOLOMON AIRLINES LIMITED	SOLOMON	SOLOMON ISLANDS
SOM	AERO SALMON, S.A. DE C.V.	AERO-SAL	MEXICO
SOO	SOUTHERN AIR, INC. (FLORENCE, KY)	SOUTHERN AIR	UNITED STATES
SOP	SOLINAIR LTD	SOLINAIR	SLOVENIA
SOR	SONAIR SERVICO AEREO, SARL	SONAIR	ANGOLA
SOT	SOUTHEAST CORRECT CRAFT, INC. (ORLANDO, FL)	SOUTH COURIER	UNITED STATES
SOV	SARATOV AVIATION DIVISION	SARATOV AIR	RUSSIAN FEDERATION
SOX	SOLID AIR B.V.	SOLIDAIR	NETHERLANDS
SOY	ISLAND AVIATION, INC.	SORIANO	PHILIPPINES
SOZ	JET AIRLINES	SATCO	KAZAKHSTAN
SPA	SIERRA PACIFIC AIRLINES (TUCSON, AZ)	SIERRA PACIFIC	UNITED STATES
SPB	SPRINGBOK CLASSIC AIR	SPRING CLASSIC	SOUTH AFRICA
SPC	SKYWORLD AIRLINES (DENVER, CO)	PORT	UNITED STATES
SPD	AIRSPEED AVIATION INC.	SPEEDLINE	CANADA
SPE	SPRAGUE ELECTRIC CO. (NORTH ADAMS, MA)	SPRAGUE	UNITED STATES
SPF	SPACE WORLD AIRLINE	SPACE WORLD	NIGERIA
SPG	SPRINGDALE AIR SERVICE, INC. (SPRINGDALE, AR)	SPRING AIR	UNITED STATES
SPH	SAPPHIRE EXECUTIVE AIR	SAPPHIRE-CHARTER	SOUTH AFRICA
SPI	SOUTH PACIFIC ISLAND AIRWAYS, INC.	SOUTH PACIFIC	UNITED STATES
SPJ	SPECTRUM AVIATION	SPECTRUM	UNITED KINGDOM
SPK	SOLSTAS LAB (GREENSBORO, NC)	SOLSTAS LAB	UNITED STATES
SPL	SERVICIOS CORPORATIVOS AEREOS DE LA LAGUNA, S.A. DE C.V.	CORPORATIVOS LAGUNA	MEXICO
SPN	HESA AIRLINES	SEPAHAN	IRAN (ISLAMIC REPUBLIC OF)
SPO	SPORAVIA S.L.	SPORAVIA	SPAIN
SPP	SAPPHIRE AVIATION, INC. (WEST PALM BEACH, FL)	SAPPHIRE	UNITED STATES
SPQ	SERVICIOS AEREOS PALENQUE, S.A. DE C.V.	SERVICIOS PALENQUE	MEXICO
SPR	PAL AEROSPACE LTD	SPEEDAIR	CANADA
SPS	SPASA (SERVICIOS POLITECNICOS AEREOS, S.A.)	SALDUERO	SPAIN
SPT	SPEED AVIATION LIMITED	SPEED AVIATION	BANGLADESH
SPU	SOUTHEAST AIRMOTIVE CORP. (CHARLOTTE, NC)	SPUTTER	UNITED STATES
